contract_type,symbol,description,strike,expiration_date,mark,bid,bid_size,ask,ask_size,last,last_size,open_interest,total_volume,delta,gamma,theta,vega,rho,volatility,theoretical_volatility,theoretical_option_value,intrinsic_value,extrinsic_value,underlying_price
CALL,SPXW  260406C02600000,SPXW 04/06/2026 2600.00 C,2600.0,2026-04-06,3907.1,3897.9,1,3916.3,1,0.0,0,0,0,1.0,0.0,0.233,0.002,0.43,192.365,29.0,3904.764,3905.89,-3905.89,6505.89
CALL,SPXW  260406C02800000,SPXW 04/06/2026 2800.00 C,2800.0,2026-04-06,3707.0,3697.6,2,3716.4,1,0.0,0,2,0,1.0,0.0,0.233,0.002,0.463,177.275,29.0,3704.715,3705.89,-3705.89,6505.89
CALL,SPXW  260406C03000000,SPXW 04/06/2026 3000.00 C,3000.0,2026-04-06,3507.1,3497.7,2,3516.5,1,0.0,0,0,0,1.0,0.0,0.233,0.003,0.496,163.279,29.0,3504.716,3505.89,-3505.89,6505.89
CALL,SPXW  260406C03200000,SPXW 04/06/2026 3200.00 C,3200.0,2026-04-06,3308.15,3299.6,1,3316.7,1,0.0,0,0,0,1.0,0.0,0.232,0.003,0.53,150.258,29.0,3304.768,3305.89,-3305.89,6505.89
CALL,SPXW  260406C03400000,SPXW 04/06/2026 3400.00 C,3400.0,2026-04-06,3108.35,3099.9,1,3116.8,1,0.0,0,0,0,1.0,0.0,0.232,0.003,0.563,137.853,29.0,3104.769,3105.89,-3105.89,6505.89
CALL,SPXW  260406C03600000,SPXW 04/06/2026 3600.00 C,3600.0,2026-04-06,2907.5,2898.1,2,2916.9,1,0.0,0,0,0,1.0,0.0,0.232,0.003,0.596,126.15,29.0,2904.72,2905.89,-2905.89,6505.89
CALL,SPXW  260406C03800000,SPXW 04/06/2026 3800.00 C,3800.0,2026-04-06,2708.8,2700.5,1,2717.1,1,0.0,0,0,0,1.0,0.0,0.232,0.004,0.629,115.137,29.0,2704.771,2705.89,-2705.89,6505.89
CALL,SPXW  260406C04000000,SPXW 04/06/2026 4000.00 C,4000.0,2026-04-06,2508.85,2500.5,1,2517.2,1,2619.88,1,1,0,1.0,0.0,0.232,0.004,0.662,104.63,29.0,2504.772,2505.89,113.99,6505.89
CALL,SPXW  260406C04200000,SPXW 04/06/2026 4200.00 C,4200.0,2026-04-06,2307.9,2298.5,2,2317.3,1,0.0,0,0,0,1.0,0.0,0.232,0.004,0.695,94.594,29.0,2304.773,2305.89,-2305.89,6505.89
CALL,SPXW  260406C04400000,SPXW 04/06/2026 4400.00 C,4400.0,2026-04-06,2109.5,2100.6,1,2118.4,1,0.0,0,0,0,1.0,0.0,0.232,0.005,0.728,85.004,29.0,2104.724,2105.89,-2105.89,6505.89
